insert_job,job_type,owner,permission,date_conditions,start_times,condition,description,alarm_if_fail,application
US.ANA01000.BOX, BOX,autosys,gx;ge;wx,1,"06-00",null,"Load Start Job",1,ANA
US.ANA01001.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01000.BOX),"All ETL jobs from BIANALYTICS04 project for Snowflake tables",1,ANA
US.ANA01002.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01013.BOX),"All ETL jobs from BIANALYTICS04-Custom project for Snowflake tables",1,ANA
US.ANA01003.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"Shared ETL jobs from asset_info Snowflake tables",1,ANA
US.ANA01004.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01010.BOX),"All ETL jobs from BIANALYTICS04-Lease_projections project for Snowflake tables",1,ANA
US.ANA01005.BOX, BOX,autosys,gx;ge;wx,1,"14-00",null,"All ETL jobs from BIANALYTICS04-Billing project for Snowflake tables",1,ANA
US.ANA01006.BOX, BOX,autosys,gx;ge;wx,y,"07-00",null,"All ETL jobs from BIANALYTICS04-RentalBilling project for Snowflake tables",1,ANA
US.ANA01009.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01066.BOX),"Box to trigger automatic data validation tool for Stage and Final tables",1,ANA
US.ANA01010.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01002.BOX),"ETL Jobs for Snowflake table core.asset_custom_field",1,ANA
US.ANA01011.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.asset_info",1,ANA
US.ANA01012.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01011.BOX),"ETL Jobs for Snowflake table core.asset_info_ext1",1,ANA
US.ANA01013.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01012.BOX),"ETL Jobs for Snowflake table core.asset_info_ext2",1,ANA
US.ANA01014.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01002.BOX)& s(US.ANA01013.BOX),"ETL Jobs for Snowflake table core.client_asset_header",1,ANA
US.ANA01015.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.client_breakdown",1,ANA
US.ANA01016.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.internal_contact_info",1,ANA
US.ANA01017.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.person",1,ANA
US.ANA01018.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01002.BOX),"ETL Jobs for Snowflake table core.person_custom_field",1,ANA
US.ANA01019.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.ref_date_range",1,ANA
US.ANA01020.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.service_card",1,ANA
US.ANA01021.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table core.user_pref",1,ANA
US.ANA01022.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_lessor",1,ANA
US.ANA01023.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table ref_core.ref_state_city_location_code_info",1,ANA
US.ANA01024.BOX, BOX,autosys,gx;ge;wx,null,null,s(US.ANA01005.BOX),"Billing Monthly Jobs- ETL Jobs for Snowflake table txn_bill.billing_charge",1,ANA
US.ANA01025.BOX, BOX,autosys,gx;ge;wx,0,null,s(US.ANA01001.BOX),"ETL Jobs for Snowflake table txn_bill.other_charge_daily",1,ANA
